,central_pressure,central_density,radius,total_mass
132,1244571493834806,5558776249325.77,0.00045409872343803176,4.3161163314836686e-05
133,1533830593338.9482,6649440507293705,0.0004467761271568123,4.172397190872756e-05
134,1890318314951523,7968125512812966,0.0004411327285129542,4.03446597609651e-05
135,2329659707766.3916,9564575753622.2,0.00043723445821291005,3.903600253715826e-05
136,2871111341969.6167,"1,14999536636725E+016",0.000435183871932473,3.781068928122745e-05
137,3538405334695.8345,"1,38490586956709E+016",0.0004350616644717238,3.6680584203093705e-05
138,4360789541521178,16703816530226.88,0.000436956055371179,3.565839573229556e-05
139,5374309505746652,"2,01768477554322E+016",0.0004409322969059675,3.4756233666527985e-05
140,6623388354000564,"2,4406332826688E+016",0.0004470199657492414,3.398634456866415e-05
141,8162773885836284,"2,95622860048635E+016",0.0004551941879134472,3.336062355968146e-05
142,10059938199312.3,35853206083197.4,0.0004653373770591896,3.2889671374856184e-05
143,"1,23980350294384E+016","4,35353911409131E+016",0.00047722546539688906,3.2582356410464856e-05
144,"1,5279544421226E+016",52923826210778.84,0.0004904965223427294,3.2443868516266895e-05
145,18830764485329.43,64406143741288.05,0.0005046443438245295,3.247440866711522e-05
146,23207347112348.91,78458440937358.83,0.000519052512885371,3.26671738611719e-05
147,"2,86011202791391E+016",95666683975179.72,0.0005330472842127502,3.3007698232196844e-05
148,35248495972488.77,116751666240450.81,0.000545965284905862,3.347352662361614e-05
149,43440832254000.0,142600200902946.34,0.0005572543253638509,3.403556514495888e-05
